# lat,lon,elevation,time
4.962176199999999682e+01,1.887564700000000073e+01,5.423999999999999773e+02,1.676098162000000000e+09
4.962176199999999682e+01,1.887564700000000073e+01,5.423999999999999773e+02,1.676098163000000000e+09
4.962176199999999682e+01,1.887564700000000073e+01,5.423999999999999773e+02,1.676098164000000000e+09
4.962176199999999682e+01,1.887564700000000073e+01,5.423999999999999773e+02,1.676098165000000000e+09
4.962176199999999682e+01,1.887564700000000073e+01,5.423999999999999773e+02,1.676098166000000000e+09
4.962176199999999682e+01,1.887564700000000073e+01,5.423999999999999773e+02,1.676098167000000000e+09
4.962176199999999682e+01,1.887564700000000073e+01,5.423999999999999773e+02,1.676098168000000000e+09
4.962176199999999682e+01,1.887564700000000073e+01,5.423999999999999773e+02,1.676098169000000000e+09
4.962176199999999682e+01,1.887564700000000073e+01,5.423999999999999773e+02,1.676098170000000000e+09
4.962176199999999682e+01,1.887564700000000073e+01,5.423999999999999773e+02,1.676098171000000000e+09
4.962176199999999682e+01,1.887564700000000073e+01,5.423999999999999773e+02,1.676098172000000000e+09
4.962176199999999682e+01,1.887564700000000073e+01,5.423999999999999773e+02,1.676098173000000000e+09
4.962176199999999682e+01,1.887564700000000073e+01,5.423999999999999773e+02,1.676098174000000000e+09
4.962176199999999682e+01,1.887564700000000073e+01,5.423999999999999773e+02,1.676098175000000000e+09
4.962176199999999682e+01,1.887564700000000073e+01,5.423999999999999773e+02,1.676098176000000000e+09
4.962176399999999887e+01,1.887567999999999913e+01,5.423999999999999773e+02,1.676098177000000000e+09
4.962170199999999909e+01,1.887559800000000010e+01,5.425000000000000000e+02,1.676098178000000000e+09
4.962161499999999847e+01,1.887549200000000127e+01,5.426000000000000227e+02,1.676098179000000000e+09
4.962162500000000165e+01,1.887547899999999856e+01,5.426000000000000227e+02,1.676098180000000000e+09
4.962163799999999725e+01,1.887546499999999838e+01,5.426000000000000227e+02,1.676098181000000000e+09
4.962164899999999790e+01,1.887547100000000100e+01,5.426000000000000227e+02,1.676098182000000000e+09
4.962166599999999761e+01,1.887546800000000147e+01,5.427000000000000455e+02,1.676098183000000000e+09
4.962167399999999873e+01,1.887545000000000073e+01,5.427000000000000455e+02,1.676098184000000000e+09
4.962167999999999779e+01,1.887542699999999840e+01,5.427000000000000455e+02,1.676098185000000000e+09
4.962168499999999938e+01,1.887540800000000019e+01,5.427000000000000455e+02,1.676098186000000000e+09
4.962168199999999985e+01,1.887539200000000150e+01,5.427000000000000455e+02,1.676098187000000000e+09
4.962168299999999732e+01,1.887538500000000141e+01,5.427000000000000455e+02,1.676098188000000000e+09
4.962168900000000349e+01,1.887538100000000085e+01,5.427999999999999545e+02,1.676098189000000000e+09
4.962169000000000096e+01,1.887537700000000029e+01,5.427999999999999545e+02,1.676098190000000000e+09
4.962169099999999844e+01,1.887536800000000170e+01,5.427999999999999545e+02,1.676098191000000000e+09
4.962169000000000096e+01,1.887535600000000002e+01,5.427999999999999545e+02,1.676098192000000000e+09
4.962169200000000302e+01,1.887534799999999890e+01,5.428999999999999773e+02,1.676098193000000000e+09
4.962169300000000050e+01,1.887533099999999919e+01,5.428999999999999773e+02,1.676098194000000000e+09
4.962169200000000302e+01,1.887531399999999948e+01,5.430000000000000000e+02,1.676098195000000000e+09
4.962169200000000302e+01,1.887529299999999921e+01,5.431000000000000227e+02,1.676098196000000000e+09
4.962169899999999956e+01,1.887528000000000006e+01,5.431000000000000227e+02,1.676098197000000000e+09
4.962171099999999768e+01,1.887527000000000044e+01,5.432000000000000455e+02,1.676098198000000000e+09
4.962171599999999927e+01,1.887525600000000026e+01,5.432000000000000455e+02,1.676098199000000000e+09
4.962172000000000338e+01,1.887524399999999858e+01,5.432999999999999545e+02,1.676098200000000000e+09
4.962171699999999674e+01,1.887523200000000045e+01,5.432999999999999545e+02,1.676098201000000000e+09
4.962171899999999880e+01,1.887521600000000177e+01,5.433999999999999773e+02,1.676098202000000000e+09
4.962172400000000039e+01,1.887518299999999982e+01,5.435000000000000000e+02,1.676098203000000000e+09
4.962172400000000039e+01,1.887518299999999982e+01,5.435000000000000000e+02,1.676098204000000000e+09
4.962172699999999992e+01,1.887517000000000067e+01,5.435000000000000000e+02,1.676098205000000000e+09
4.962172999999999945e+01,1.887515799999999899e+01,5.436000000000000227e+02,1.676098206000000000e+09
4.962173700000000309e+01,1.887515000000000143e+01,5.436000000000000227e+02,1.676098207000000000e+09
4.962174199999999757e+01,1.887514099999999928e+01,5.437000000000000455e+02,1.676098208000000000e+09
4.962174799999999664e+01,1.887512999999999863e+01,5.437000000000000455e+02,1.676098209000000000e+09
4.962175200000000075e+01,1.887511399999999995e+01,5.437999999999999545e+02,1.676098210000000000e+09
4.962175400000000280e+01,1.887509999999999977e+01,5.437999999999999545e+02,1.676098211000000000e+09
4.962175100000000327e+01,1.887508300000000006e+01,5.437999999999999545e+02,1.676098212000000000e+09
4.962174300000000216e+01,1.887507300000000043e+01,5.437000000000000455e+02,1.676098213000000000e+09
4.962173399999999646e+01,1.887506399999999829e+01,5.437000000000000455e+02,1.676098214000000000e+09
4.962172999999999945e+01,1.887505900000000025e+01,5.437000000000000455e+02,1.676098215000000000e+09
4.962172199999999833e+01,1.887505900000000025e+01,5.436000000000000227e+02,1.676098216000000000e+09
4.962171699999999674e+01,1.887506600000000034e+01,5.436000000000000227e+02,1.676098217000000000e+09
4.962171000000000021e+01,1.887507300000000043e+01,5.436000000000000227e+02,1.676098218000000000e+09
4.962170799999999815e+01,1.887507599999999996e+01,5.436000000000000227e+02,1.676098219000000000e+09
4.962170900000000273e+01,1.887508700000000061e+01,5.435000000000000000e+02,1.676098220000000000e+09
4.962170900000000273e+01,1.887509999999999977e+01,5.435000000000000000e+02,1.676098221000000000e+09
4.962170700000000068e+01,1.887511599999999845e+01,5.435000000000000000e+02,1.676098222000000000e+09
4.962170600000000320e+01,1.887513300000000172e+01,5.433999999999999773e+02,1.676098223000000000e+09
4.962170299999999656e+01,1.887515199999999993e+01,5.433999999999999773e+02,1.676098224000000000e+09
4.962169899999999956e+01,1.887517100000000170e+01,5.432999999999999545e+02,1.676098225000000000e+09
4.962169500000000255e+01,1.887518899999999888e+01,5.432999999999999545e+02,1.676098226000000000e+09
4.962169000000000096e+01,1.887520599999999860e+01,5.432000000000000455e+02,1.676098227000000000e+09
4.962168700000000143e+01,1.887522999999999840e+01,5.432000000000000455e+02,1.676098228000000000e+09
4.962168799999999891e+01,1.887525300000000072e+01,5.431000000000000227e+02,1.676098229000000000e+09
4.962169000000000096e+01,1.887527000000000044e+01,5.431000000000000227e+02,1.676098230000000000e+09
4.962169200000000302e+01,1.887528800000000118e+01,5.430000000000000000e+02,1.676098231000000000e+09
4.962169200000000302e+01,1.887530900000000145e+01,5.430000000000000000e+02,1.676098232000000000e+09
4.962169099999999844e+01,1.887532699999999863e+01,5.428999999999999773e+02,1.676098233000000000e+09
4.962168199999999985e+01,1.887534499999999937e+01,5.428999999999999773e+02,1.676098234000000000e+09
4.962166599999999761e+01,1.887536499999999862e+01,5.427999999999999545e+02,1.676098235000000000e+09
4.962165799999999649e+01,1.887538800000000094e+01,5.428999999999999773e+02,1.676098236000000000e+09
4.962163999999999930e+01,1.887541099999999972e+01,5.430000000000000000e+02,1.676098237000000000e+09
4.962162500000000165e+01,1.887541699999999878e+01,5.430000000000000000e+02,1.676098238000000000e+09
4.962160899999999941e+01,1.887542399999999887e+01,5.431000000000000227e+02,1.676098239000000000e+09
4.962159499999999923e+01,1.887542300000000139e+01,5.431000000000000227e+02,1.676098240000000000e+09
4.962158000000000158e+01,1.887542300000000139e+01,5.432000000000000455e+02,1.676098241000000000e+09
4.962156800000000345e+01,1.887542099999999934e+01,5.432000000000000455e+02,1.676098242000000000e+09
4.962155899999999775e+01,1.887541799999999981e+01,5.432999999999999545e+02,1.676098243000000000e+09
4.962155400000000327e+01,1.887541600000000130e+01,5.432999999999999545e+02,1.676098244000000000e+09
4.962155099999999663e+01,1.887541300000000177e+01,5.432999999999999545e+02,1.676098245000000000e+09
4.962154999999999916e+01,1.887541300000000177e+01,5.432999999999999545e+02,1.676098246000000000e+09
4.962155099999999663e+01,1.887541399999999925e+01,5.432999999999999545e+02,1.676098247000000000e+09
4.962155400000000327e+01,1.887541099999999972e+01,5.432999999999999545e+02,1.676098248000000000e+09
4.962156000000000233e+01,1.887540699999999916e+01,5.433999999999999773e+02,1.676098249000000000e+09
4.962156800000000345e+01,1.887540200000000112e+01,5.433999999999999773e+02,1.676098250000000000e+09
4.962157299999999793e+01,1.887540600000000168e+01,5.433999999999999773e+02,1.676098251000000000e+09
4.962157200000000046e+01,1.887540800000000019e+01,5.433999999999999773e+02,1.676098252000000000e+09
4.962156800000000345e+01,1.887540999999999869e+01,5.433999999999999773e+02,1.676098253000000000e+09
4.962156399999999934e+01,1.887540800000000019e+01,5.435000000000000000e+02,1.676098254000000000e+09
4.962155899999999775e+01,1.887541200000000075e+01,5.435000000000000000e+02,1.676098255000000000e+09
4.962155299999999869e+01,1.887541600000000130e+01,5.435000000000000000e+02,1.676098256000000000e+09
4.962154499999999757e+01,1.887541500000000028e+01,5.435000000000000000e+02,1.676098257000000000e+09
4.962154199999999804e+01,1.887541399999999925e+01,5.436000000000000227e+02,1.676098258000000000e+09
4.962151000000000067e+01,1.887537800000000132e+01,5.437000000000000455e+02,1.676098295000000000e+09
4.962150900000000320e+01,1.887537800000000132e+01,5.437000000000000455e+02,1.676098296000000000e+09
4.962150900000000320e+01,1.887537700000000029e+01,5.437000000000000455e+02,1.676098297000000000e+09
4.962150700000000114e+01,1.887537599999999927e+01,5.437000000000000455e+02,1.676098298000000000e+09
4.962150599999999656e+01,1.887537400000000076e+01,5.437000000000000455e+02,1.676098299000000000e+09
4.962150599999999656e+01,1.887537199999999871e+01,5.437000000000000455e+02,1.676098300000000000e+09
4.962150100000000208e+01,1.887537100000000123e+01,5.437999999999999545e+02,1.676098301000000000e+09
4.962149000000000143e+01,1.887537800000000132e+01,5.437999999999999545e+02,1.676098302000000000e+09
4.962147600000000125e+01,1.887539299999999898e+01,5.437999999999999545e+02,1.676098303000000000e+09
4.962146899999999761e+01,1.887540500000000065e+01,5.437999999999999545e+02,1.676098304000000000e+09
4.962145699999999948e+01,1.887542200000000037e+01,5.437999999999999545e+02,1.676098305000000000e+09
4.962144700000000341e+01,1.887543700000000158e+01,5.437999999999999545e+02,1.676098306000000000e+09
4.962143700000000024e+01,1.887545100000000176e+01,5.437000000000000455e+02,1.676098307000000000e+09
4.962142699999999707e+01,1.887546700000000044e+01,5.437000000000000455e+02,1.676098308000000000e+09
4.962142000000000053e+01,1.887548299999999912e+01,5.437000000000000455e+02,1.676098309000000000e+09
4.962141299999999688e+01,1.887549999999999883e+01,5.437000000000000455e+02,1.676098310000000000e+09
4.962141199999999941e+01,1.887551600000000107e+01,5.437000000000000455e+02,1.676098311000000000e+09
4.962140999999999735e+01,1.887553199999999975e+01,5.437000000000000455e+02,1.676098312000000000e+09
4.962141100000000193e+01,1.887554799999999844e+01,5.437000000000000455e+02,1.676098313000000000e+09
4.962141100000000193e+01,1.887556199999999862e+01,5.437000000000000455e+02,1.676098314000000000e+09
4.962141199999999941e+01,1.887557599999999880e+01,5.437000000000000455e+02,1.676098315000000000e+09
4.962141199999999941e+01,1.887559100000000001e+01,5.437000000000000455e+02,1.676098316000000000e+09
4.962141299999999688e+01,1.887561099999999925e+01,5.437000000000000455e+02,1.676098317000000000e+09
4.962140999999999735e+01,1.887562899999999999e+01,5.437000000000000455e+02,1.676098318000000000e+09
4.962141100000000193e+01,1.887565000000000026e+01,5.436000000000000227e+02,1.676098319000000000e+09
4.962140999999999735e+01,1.887566999999999950e+01,5.436000000000000227e+02,1.676098320000000000e+09
4.962140600000000035e+01,1.887569399999999931e+01,5.436000000000000227e+02,1.676098321000000000e+09
4.962139899999999670e+01,1.887571600000000061e+01,5.436000000000000227e+02,1.676098322000000000e+09
4.962139200000000017e+01,1.887573599999999985e+01,5.436000000000000227e+02,1.676098323000000000e+09
4.962138800000000316e+01,1.887575800000000115e+01,5.436000000000000227e+02,1.676098324000000000e+09
4.962138199999999699e+01,1.887578099999999992e+01,5.436000000000000227e+02,1.676098325000000000e+09
4.962137700000000251e+01,1.887580000000000169e+01,5.436000000000000227e+02,1.676098326000000000e+09
4.962137599999999793e+01,1.887582199999999943e+01,5.435000000000000000e+02,1.676098327000000000e+09
4.962137100000000345e+01,1.887584700000000026e+01,5.435000000000000000e+02,1.676098328000000000e+09
4.962136300000000233e+01,1.887586999999999904e+01,5.435000000000000000e+02,1.676098329000000000e+09
4.962135800000000074e+01,1.887589200000000034e+01,5.435000000000000000e+02,1.676098330000000000e+09
4.962135299999999916e+01,1.887591400000000164e+01,5.435000000000000000e+02,1.676098331000000000e+09
4.962134999999999962e+01,1.887593499999999835e+01,5.435000000000000000e+02,1.676098332000000000e+09
4.962134700000000009e+01,1.887595699999999965e+01,5.435000000000000000e+02,1.676098333000000000e+09
4.962134300000000309e+01,1.887597900000000095e+01,5.433999999999999773e+02,1.676098334000000000e+09
4.962134100000000103e+01,1.887600099999999870e+01,5.433999999999999773e+02,1.676098335000000000e+09
4.962133999999999645e+01,1.887602199999999897e+01,5.433999999999999773e+02,1.676098336000000000e+09
4.962133999999999645e+01,1.887604100000000074e+01,5.433999999999999773e+02,1.676098337000000000e+09
4.962133899999999898e+01,1.887605900000000148e+01,5.433999999999999773e+02,1.676098338000000000e+09
4.962133599999999944e+01,1.887607799999999969e+01,5.433999999999999773e+02,1.676098339000000000e+09
4.962133299999999991e+01,1.887609399999999837e+01,5.433999999999999773e+02,1.676098340000000000e+09
4.962133200000000244e+01,1.887611100000000164e+01,5.433999999999999773e+02,1.676098341000000000e+09
4.962133200000000244e+01,1.887612499999999827e+01,5.432999999999999545e+02,1.676098342000000000e+09
