# lat,lon,elevation,time
5.050061000000000178e+01,1.637482599999999877e+01,4.028999999999999773e+02,1.662883211000000000e+09
5.050059300000000206e+01,1.637480700000000056e+01,4.028999999999999773e+02,1.662883212000000000e+09
5.050057799999999730e+01,1.637479000000000084e+01,4.028999999999999773e+02,1.662883213000000000e+09
5.050056299999999965e+01,1.637477200000000011e+01,4.028999999999999773e+02,1.662883214000000000e+09
5.050054500000000246e+01,1.637474500000000077e+01,4.028999999999999773e+02,1.662883215000000000e+09
5.050051899999999705e+01,1.637471400000000088e+01,4.028999999999999773e+02,1.662883216000000000e+09
5.050049200000000127e+01,1.637468499999999949e+01,4.028999999999999773e+02,1.662883217000000000e+09
5.050047099999999745e+01,1.637465900000000119e+01,4.028999999999999773e+02,1.662883218000000000e+09
5.050045000000000073e+01,1.637463299999999933e+01,4.028999999999999773e+02,1.662883219000000000e+09
5.050043099999999896e+01,1.637460499999999897e+01,4.028999999999999773e+02,1.662883220000000000e+09
5.050041099999999972e+01,1.637457699999999861e+01,4.028999999999999773e+02,1.662883221000000000e+09
5.050039499999999748e+01,1.637454999999999927e+01,4.028999999999999773e+02,1.662883222000000000e+09
5.050037100000000123e+01,1.637451799999999835e+01,4.028999999999999773e+02,1.662883223000000000e+09
5.050034699999999788e+01,1.637448799999999949e+01,4.028999999999999773e+02,1.662883224000000000e+09
5.050032099999999957e+01,1.637446100000000015e+01,4.028999999999999773e+02,1.662883225000000000e+09
5.050030000000000285e+01,1.637444100000000091e+01,4.028999999999999773e+02,1.662883226000000000e+09
5.050027500000000202e+01,1.637440799999999896e+01,4.028999999999999773e+02,1.662883227000000000e+09
5.050025500000000278e+01,1.637436999999999898e+01,4.028999999999999773e+02,1.662883228000000000e+09
5.050023399999999896e+01,1.637434199999999862e+01,4.028999999999999773e+02,1.662883229000000000e+09
5.050021000000000271e+01,1.637431799999999882e+01,4.028999999999999773e+02,1.662883230000000000e+09
5.050018800000000141e+01,1.637429099999999949e+01,4.028999999999999773e+02,1.662883231000000000e+09
5.050016800000000217e+01,1.637426900000000174e+01,4.028999999999999773e+02,1.662883232000000000e+09
5.050014800000000292e+01,1.637424000000000035e+01,4.028000000000000114e+02,1.662883233000000000e+09
5.050012300000000209e+01,1.637421499999999952e+01,4.028000000000000114e+02,1.662883234000000000e+09
5.050009299999999968e+01,1.637419399999999925e+01,4.028000000000000114e+02,1.662883235000000000e+09
5.050006900000000343e+01,1.637417500000000103e+01,4.028000000000000114e+02,1.662883236000000000e+09
5.050003800000000354e+01,1.637413799999999853e+01,4.028000000000000114e+02,1.662883237000000000e+09
5.050001400000000018e+01,1.637410399999999910e+01,4.026999999999999886e+02,1.662883238000000000e+09
5.049999400000000094e+01,1.637407400000000024e+01,4.026999999999999886e+02,1.662883239000000000e+09
5.049997400000000169e+01,1.637404000000000082e+01,4.028000000000000114e+02,1.662883240000000000e+09
5.049995499999999993e+01,1.637400500000000036e+01,4.028000000000000114e+02,1.662883241000000000e+09
5.049993500000000068e+01,1.637396100000000132e+01,4.028000000000000114e+02,1.662883242000000000e+09
5.049992199999999798e+01,1.637392099999999928e+01,4.028000000000000114e+02,1.662883243000000000e+09
5.049990700000000032e+01,1.637387800000000126e+01,4.028999999999999773e+02,1.662883244000000000e+09
5.049989200000000267e+01,1.637384499999999932e+01,4.028999999999999773e+02,1.662883245000000000e+09
5.049987500000000296e+01,1.637379500000000121e+01,4.028999999999999773e+02,1.662883246000000000e+09
5.049986899999999679e+01,1.637376099999999823e+01,4.028999999999999773e+02,1.662883247000000000e+09
5.049985699999999866e+01,1.637370999999999910e+01,4.030000000000000000e+02,1.662883248000000000e+09
5.049984800000000007e+01,1.637366799999999856e+01,4.030000000000000000e+02,1.662883249000000000e+09
5.049983799999999690e+01,1.637362299999999848e+01,4.030000000000000000e+02,1.662883250000000000e+09
5.049983000000000288e+01,1.637358400000000103e+01,4.030000000000000000e+02,1.662883251000000000e+09
5.049982299999999924e+01,1.637353900000000095e+01,4.031000000000000227e+02,1.662883252000000000e+09
5.049981300000000317e+01,1.637348300000000023e+01,4.031000000000000227e+02,1.662883253000000000e+09
5.049980800000000158e+01,1.637344699999999875e+01,4.031000000000000227e+02,1.662883254000000000e+09
5.049980200000000252e+01,1.637339400000000111e+01,4.031000000000000227e+02,1.662883255000000000e+09
5.049979400000000140e+01,1.637335399999999908e+01,4.031999999999999886e+02,1.662883256000000000e+09
5.049978300000000075e+01,1.637330899999999900e+01,4.031999999999999886e+02,1.662883257000000000e+09
5.049976999999999805e+01,1.637325099999999978e+01,4.031999999999999886e+02,1.662883258000000000e+09
5.049975899999999740e+01,1.637320599999999970e+01,4.033000000000000114e+02,1.662883259000000000e+09
5.049975100000000339e+01,1.637316799999999972e+01,4.033000000000000114e+02,1.662883260000000000e+09
5.049973800000000068e+01,1.637312000000000012e+01,4.033000000000000114e+02,1.662883261000000000e+09
5.049972400000000050e+01,1.637307500000000005e+01,4.033999999999999773e+02,1.662883262000000000e+09
5.049970900000000285e+01,1.637302700000000044e+01,4.033999999999999773e+02,1.662883263000000000e+09
5.049970100000000173e+01,1.637298900000000046e+01,4.033999999999999773e+02,1.662883264000000000e+09
5.049968799999999902e+01,1.637294699999999992e+01,4.035000000000000000e+02,1.662883265000000000e+09
5.049967800000000295e+01,1.637290099999999882e+01,4.035000000000000000e+02,1.662883266000000000e+09
5.049966899999999725e+01,1.637286699999999939e+01,4.035000000000000000e+02,1.662883267000000000e+09
5.049965999999999866e+01,1.637282300000000035e+01,4.036000000000000227e+02,1.662883268000000000e+09
5.049964599999999848e+01,1.637276900000000168e+01,4.036000000000000227e+02,1.662883269000000000e+09
5.049963499999999783e+01,1.637272000000000105e+01,4.036999999999999886e+02,1.662883270000000000e+09
5.049962200000000223e+01,1.637267399999999995e+01,4.036999999999999886e+02,1.662883271000000000e+09
5.049960800000000205e+01,1.637262799999999885e+01,4.036999999999999886e+02,1.662883272000000000e+09
5.049959799999999888e+01,1.637259299999999840e+01,4.038000000000000114e+02,1.662883273000000000e+09
5.049958600000000075e+01,1.637254099999999823e+01,4.038000000000000114e+02,1.662883274000000000e+09
5.049957299999999805e+01,1.637249600000000171e+01,4.038000000000000114e+02,1.662883275000000000e+09
5.049956199999999740e+01,1.637244799999999856e+01,4.038000000000000114e+02,1.662883276000000000e+09
5.049955400000000338e+01,1.637240900000000110e+01,4.038999999999999773e+02,1.662883277000000000e+09
5.049954699999999974e+01,1.637236300000000000e+01,4.038999999999999773e+02,1.662883278000000000e+09
5.049954000000000320e+01,1.637231500000000040e+01,4.038999999999999773e+02,1.662883279000000000e+09
5.049953000000000003e+01,1.637226100000000173e+01,4.038999999999999773e+02,1.662883280000000000e+09
5.049951800000000190e+01,1.637221100000000007e+01,4.038999999999999773e+02,1.662883281000000000e+09
5.049950599999999667e+01,1.637217400000000112e+01,4.038000000000000114e+02,1.662883282000000000e+09
5.049949099999999902e+01,1.637213300000000160e+01,4.038000000000000114e+02,1.662883283000000000e+09
5.049947499999999678e+01,1.637209500000000162e+01,4.038000000000000114e+02,1.662883284000000000e+09
5.049945499999999754e+01,1.637205900000000014e+01,4.038000000000000114e+02,1.662883285000000000e+09
5.049943400000000082e+01,1.637201200000000156e+01,4.038000000000000114e+02,1.662883286000000000e+09
5.049941799999999859e+01,1.637197099999999850e+01,4.036999999999999886e+02,1.662883287000000000e+09
5.049940200000000345e+01,1.637194099999999963e+01,4.036999999999999886e+02,1.662883288000000000e+09
5.049938499999999664e+01,1.637189800000000162e+01,4.036999999999999886e+02,1.662883289000000000e+09
5.049936900000000151e+01,1.637184200000000089e+01,4.036999999999999886e+02,1.662883290000000000e+09
5.049935299999999927e+01,1.637179700000000082e+01,4.036999999999999886e+02,1.662883291000000000e+09
5.049933899999999909e+01,1.637175299999999822e+01,4.038000000000000114e+02,1.662883292000000000e+09
5.049933099999999797e+01,1.637172199999999833e+01,4.038000000000000114e+02,1.662883293000000000e+09
5.049932100000000190e+01,1.637168300000000087e+01,4.038000000000000114e+02,1.662883294000000000e+09
5.049930400000000219e+01,1.637162700000000015e+01,4.038000000000000114e+02,1.662883295000000000e+09
5.049929000000000201e+01,1.637158300000000111e+01,4.038999999999999773e+02,1.662883296000000000e+09
5.049927799999999678e+01,1.637153800000000103e+01,4.038999999999999773e+02,1.662883297000000000e+09
5.049927000000000277e+01,1.637150199999999955e+01,4.038999999999999773e+02,1.662883298000000000e+09
5.049925799999999754e+01,1.637146399999999957e+01,4.040000000000000000e+02,1.662883299000000000e+09
5.049924800000000147e+01,1.637142000000000053e+01,4.040000000000000000e+02,1.662883300000000000e+09
5.049923900000000287e+01,1.637138500000000008e+01,4.040000000000000000e+02,1.662883301000000000e+09
