 time, distance, heartrate, cadence, velocity_smooth, altitude, grade_smooth
    0,        0,        91,       0,               0,    414.4,        -14.3
    2,        0,        89,       0,               0,    414.4,        -13.4
    3,      0.4,        89,       0,           0.143,    414.4,        -14.2
    4,      0.4,        90,       0,           0.107,    414.4,        -14.7
    5,      2.8,        90,     162,            0.56,      414,        -14.7
    6,      5.2,        90,     162,           0.868,    413.7,        -15.3
    7,      7.8,        89,     162,           1.552,    413.3,        -14.2
    8,     11.6,        90,     162,           2.222,    412.7,        -14.7
    9,     15.5,        93,     162,           3.014,    412.2,        -14.4
   10,     19.5,        96,     164,           3.334,    411.6,        -14.4
   11,     23.7,        98,     166,           3.704,      411,        -15.1
   12,     28.2,       102,     166,           4.088,    410.3,        -15.2
   13,     32.7,       106,     168,           4.228,    409.6,        -15.5
   14,     36.6,       108,     168,            4.22,      409,          -15
   15,     40.5,       112,     174,           4.208,    408.4,        -15.2
   16,     44.8,       115,     174,           4.218,    407.8,        -15.3
   17,     49.1,       116,     174,           4.176,    407.1,        -15.1
   18,     53.6,       121,     174,           4.182,    406.4,        -15.7
   19,     57.8,       122,     174,           4.232,    405.8,        -15.3
   20,       62,       124,     180,           4.304,    405.1,        -15.1
   21,     66.1,       126,     182,           4.258,    404.5,        -15.4
   22,     70.2,       128,     182,           4.224,    403.9,        -15.3
   23,       74,       130,     184,           4.078,    403.3,        -15.2
   24,     78.3,       130,     184,           4.116,    402.6,        -14.9
   25,     82.6,       132,     184,           4.116,      402,        -14.2
   26,       87,       129,     182,           4.168,    401.4,        -13.6
   27,     90.9,       132,     182,            4.14,    400.9,        -13.5
   28,     94.5,       135,     182,           4.096,    400.4,        -12.5
   29,     98.2,       136,     180,           3.966,    399.9,        -12.4
   30,    102.1,       138,     180,           3.904,    399.5,          -12
   31,    106.2,       140,     180,           3.844,      399,        -11.7
   32,    110.3,       137,     176,           3.874,    398.5,        -14.2
   33,    113.6,       142,     176,           3.822,    398.1,        -14.4
   34,    118.4,       144,     176,           4.036,    397.2,        -14.5
   35,    121.5,       144,     176,            3.87,    396.8,        -13.7
   36,    125.4,       146,     176,           3.854,    396.3,         -9.3
   37,    129.6,       147,     176,           3.872,    395.9,           -6
   38,    133.4,       148,     176,           3.972,    395.8,         -3.8
